RXNORM code	 RXNORM uri	 RXNORM label	 SNOMED code	 SNOMED uri	 SNOMED label
1664986	http://purl.bioontology.org/ontology/RXNORM/1664986	aztreonam 2000 MG Injection	1236773006	http://purl.bioontology.org/ontology/SNOMEDCT/1236773006	Aztreonam 2 g powder for solution for infusion and/or injection vial
200285	http://purl.bioontology.org/ontology/RXNORM/200285	hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet	395521005	http://purl.bioontology.org/ontology/SNOMEDCT/395521005	Hydrochlorothiazide 12.5 mg and valsartan 160 mg oral tablet
1658084	http://purl.bioontology.org/ontology/RXNORM/1658084	ado-trastuzumab emtansine 100 MG Injection	1209070003	http://purl.bioontology.org/ontology/SNOMEDCT/1209070003	Trastuzumab emtansine 100 mg powder for solution for infusion and/or injection vial
252559	http://purl.bioontology.org/ontology/RXNORM/252559	budesonide 0.5 MG/ML Inhalation Suspension	1255203009	http://purl.bioontology.org/ontology/SNOMEDCT/1255203009	Budesonide 500 microgram/mL suspension for nebulizer
859863	http://purl.bioontology.org/ontology/RXNORM/859863	saquinavir mesylate 500 MG Oral Tablet	783384009	http://purl.bioontology.org/ontology/SNOMEDCT/783384009	Saquinavir (as saquinavir mesylate) 500 mg oral tablet
312962	http://purl.bioontology.org/ontology/RXNORM/312962	simvastatin 5 MG Oral Tablet	376834003	http://purl.bioontology.org/ontology/SNOMEDCT/376834003	Simvastatin 5 mg oral tablet
751620	http://purl.bioontology.org/ontology/RXNORM/751620	nebivolol 2.5 MG Oral Tablet [Bystolic]	783360001	http://snomed.info/id/783360001	Nebivolol (as nebivolol hydrochloride) 2.5 mg oral tablet
213432	http://purl.bioontology.org/ontology/RXNORM/213432	telmisartan 80 MG Oral Tablet [Micardis]	318987008	http://snomed.info/id/318987008	Telmisartan 80 mg oral tablet
727711	http://purl.bioontology.org/ontology/RXNORM/727711	0.67 ML anakinra 149 MG/ML Prefilled Syringe	784845004	http://purl.bioontology.org/ontology/SNOMEDCT/784845004	Anakinra 149 mg/mL solution for injection
314203	http://purl.bioontology.org/ontology/RXNORM/314203	quinapril 40 MG Oral Tablet	318894007	http://purl.bioontology.org/ontology/SNOMEDCT/318894007	Quinapril (as quinapril hydrochloride) 40 mg oral tablet
310988	http://purl.bioontology.org/ontology/RXNORM/310988	indinavir 400 MG Oral Capsule	324852003	http://purl.bioontology.org/ontology/SNOMEDCT/324852003	Indinavir (as indinavir sulfate) 400 mg oral capsule
854908	http://purl.bioontology.org/ontology/RXNORM/854908	bisoprolol fumarate 10 MG / hydrochlorothiazide 6.25 MG Oral Tablet	783066003	http://purl.bioontology.org/ontology/SNOMEDCT/783066003	Bisoprolol fumarate 10 mg and hydrochlorothiazide 6.25 mg oral tablet
141962	http://purl.bioontology.org/ontology/RXNORM/141962	azithromycin 250 MG Oral Capsule	1193668004	http://purl.bioontology.org/ontology/SNOMEDCT/1193668004	Azithromycin 250 mg oral capsule
859426	http://purl.bioontology.org/ontology/RXNORM/859426	rosuvastatin calcium 5 MG Oral Tablet [Crestor]	409108001	http://snomed.info/id/409108001	Rosuvastatin (as rosuvastatin calcium) 5 mg oral tablet
312749	http://purl.bioontology.org/ontology/RXNORM/312749	quinapril 20 MG Oral Tablet	318887009	http://purl.bioontology.org/ontology/SNOMEDCT/318887009	Quinapril (as quinapril hydrochloride) 20 mg oral tablet
198334	http://purl.bioontology.org/ontology/RXNORM/198334	sulfamethoxazole 400 MG / trimethoprim 80 MG Oral Tablet	324357002	http://purl.bioontology.org/ontology/SNOMEDCT/324357002	Sulfamethoxazole 400 mg and trimethoprim 80 mg oral tablet
197558	http://purl.bioontology.org/ontology/RXNORM/197558	dapsone 25 MG Oral Tablet	370326007	http://purl.bioontology.org/ontology/SNOMEDCT/370326007	Dapsone 25 mg oral tablet
198182	http://purl.bioontology.org/ontology/RXNORM/198182	pyrimethamine 25 MG Oral Tablet	324913006	http://purl.bioontology.org/ontology/SNOMEDCT/324913006	Pyrimethamine 25 mg oral tablet
860510	http://purl.bioontology.org/ontology/RXNORM/860510	24 HR carvedilol phosphate 10 MG Extended Release Oral Capsule	1208574009	http://purl.bioontology.org/ontology/SNOMEDCT/1208574009	Carvedilol phosphate 10 mg prolonged-release oral capsule
312748	http://purl.bioontology.org/ontology/RXNORM/312748	quinapril 10 MG Oral Tablet	318886000	http://purl.bioontology.org/ontology/SNOMEDCT/318886000	Quinapril (as quinapril hydrochloride) 10 mg oral tablet
979092	http://purl.bioontology.org/ontology/RXNORM/979092	hydroxychloroquine sulfate 200 MG Oral Tablet	330037008	http://purl.bioontology.org/ontology/SNOMEDCT/330037008	Hydroxychloroquine sulfate 200 mg oral tablet
859753	http://purl.bioontology.org/ontology/RXNORM/859753	rosuvastatin calcium 20 MG Oral Tablet [Crestor]	408037007	http://snomed.info/id/408037007	Rosuvastatin (as rosuvastatin calcium) 20 mg oral tablet
1747691	http://purl.bioontology.org/ontology/RXNORM/1747691	emtricitabine 200 MG / tenofovir alafenamide 25 MG Oral Tablet	1304126009	http://purl.bioontology.org/ontology/SNOMEDCT/1304126009	Emtricitabine 200 mg and tenofovir alafenamide (as tenofovir alafenamide fumarate) 25 mg oral tablet
476351	http://purl.bioontology.org/ontology/RXNORM/476351	ezetimibe 10 MG / simvastatin 80 MG Oral Tablet	414179004	http://purl.bioontology.org/ontology/SNOMEDCT/414179004	Ezetimibe 10 mg and simvastatin 80 mg oral tablet
858804	http://purl.bioontology.org/ontology/RXNORM/858804	enalapril maleate 2.5 MG Oral Tablet	318850001	http://purl.bioontology.org/ontology/SNOMEDCT/318850001	Enalapril maleate 2.5 mg oral tablet
904477	http://purl.bioontology.org/ontology/RXNORM/904477	pravastatin sodium 40 MG Oral Tablet [Pravachol]	320014009	http://snomed.info/id/320014009	Pravastatin sodium 40 mg oral tablet
866516	http://purl.bioontology.org/ontology/RXNORM/866516	metoprolol tartrate 50 MG Oral Tablet [Lopressor]	318475005	http://snomed.info/id/318475005	Metoprolol tartrate 50 mg oral tablet
282755	http://purl.bioontology.org/ontology/RXNORM/282755	telmisartan 20 MG Oral Tablet	134463001	http://purl.bioontology.org/ontology/SNOMEDCT/134463001	Telmisartan 20 mg oral tablet
